Unnamed: 0,Gene,scores,log2FC,p_value,q_value
75,Ndn,6.3020835,1.0340252,3.8703272890877896e-10,5.202825684330871e-08
76,Sfi1,6.2548943,0.35578647,4.984488949377537e-10,6.61467245064191e-08
77,Bpifc,6.1937327,0.9848257,7.733783188281808e-10,1.0006548722738129e-07
78,Gprc5b,6.179515,0.64100415,8.112709765291315e-10,1.0410081667007902e-07
79,Stard10,6.1516304,0.40793318,9.509937497891455e-10,1.1907745529113846e-07
80,Mecom,6.125813,0.43600085,1.1109174876947392e-09,1.3798928298153894e-07
81,Peli2,6.107546,0.63372064,1.2865579748551995e-09,1.5728931020936424e-07
82,Fam110c,6.090346,1.1228197,1.4648892481289754e-09,1.7362292298530187e-07
83,Fut8,6.0682726,0.33659792,1.586471559688711e-09,1.866087172083847e-07
84,Rps4x,6.067997,0.16117312,1.5601050275564951e-09,1.842051004589804e-07
85,Iqgap2,6.062926,0.2883475,1.616664823036123e-09,1.8873042387120573e-07
86,Chad,6.0621963,1.5479536,1.809143229753852e-09,2.0962434594606855e-07
87,Tap2,6.051741,0.2988612,1.754374760577763e-09,2.0403969827798238e-07
88,Rplp0,5.989329,0.14403772,2.4905844644115034e-09,2.802178238165595e-07
89,Jak3,5.981602,0.2933394,2.6398625152259383e-09,2.938195365064913e-07
90,Fxyd1,5.9625034,1.0373098,3.139009346000662e-09,3.468884598624861e-07
91,Gbp6,5.9585257,1.2712448,3.297157780981683e-09,3.617902493739371e-07
92,Htra3,5.94846,2.6023026,3.69481917020696e-09,4.011720968267019e-07
93,Pik3ip1,5.9239845,0.42369387,3.7510316943851494e-09,4.0411648360727365e-07
94,Col1a2,5.9201236,1.7267885,4.206786414803328e-09,4.443310834656046e-07
95,Mtss1l,5.90715,0.9096343,4.3079266821629984e-09,4.504176675461534e-07
96,Rab38,5.9057345,0.32455727,4.1484708576178625e-09,4.404846991136142e-07
97,Gabarapl1,5.8689456,0.31646612,5.227286911635093e-09,5.304671257091652e-07
98,Plppr3,5.822486,0.36946616,6.799019849879698e-09,6.723884184659691e-07
99,Irak3,5.8222003,0.5511938,6.990198689719099e-09,6.869197465564784e-07
100,Arhgap6,5.821698,0.5061193,6.971499947535332e-09,6.869197465564784e-07
101,Myom1,5.776679,1.0391098,9.438962350556275e-09,9.046546230611854e-07
102,Rtkn,5.7691436,1.0515243,9.730140614083711e-09,9.2226438866521e-07
103,Epb41,5.759526,0.3578993,1.0001877546139205e-08,9.411766770916992e-07
104,Cacnb2,5.7406473,0.47620016,1.1240026735433284e-08,1.035716766217833e-06
105,G430095P16Rik,5.7381086,0.5376585,1.149114461314871e-08,1.0557234132310854e-06
106,Jak1,5.715014,0.23680404,1.2850646453586152e-08,1.1594927030407878e-06
107,Stat4,5.7136836,0.3685528,1.2987107982088576e-08,1.1655741738953656e-06
108,Arhgef28,5.70809,1.0034873,1.3776394930824578e-08,1.225783357555575e-06
109,Maged2,5.6902537,0.59443367,1.4970439012815088e-08,1.316932132195317e-06
110,Lmo7,5.6748815,1.9190058,1.769245069244466e-08,1.5373192997498896e-06
111,Gm15657,5.665906,0.48265707,1.7297473455900298e-08,1.5130660372565408e-06
112,Znrf1,5.6581273,0.26495162,1.7698667347405926e-08,1.5373192997498896e-06
113,Dennd2d,5.65272,0.41691664,1.8423442276936212e-08,1.589175425071389e-06
114,Nxpe5,5.6483593,0.4474521,1.88523731809545e-08,1.62166965204482e-06
115,Grb10,5.622382,0.66159,2.2201157808753042e-08,1.8734036778130653e-06
116,Tle2,5.614549,0.54268974,2.2953902664902775e-08,1.921260214159638e-06
117,Gng11,5.607516,0.4911423,2.3825590665321172e-08,1.983528329571631e-06
118,Trim14,5.5684814,0.3937425,2.9663937105347625e-08,2.436915976011533e-06
119,Foxo3,5.5638433,0.2808055,3.019518419924282e-08,2.474013337570152e-06
120,Cyp2j9,5.5620236,0.524848,3.089404907669875e-08,2.5246129104703324e-06
121,Fgl2,5.544,0.69067043,3.480995721462698e-08,2.793161760686852e-06
122,Sox4,5.5323105,0.32494134,3.59920576637621e-08,2.8731654669223767e-06
123,Kdm5c,5.5223584,0.31198123,3.851650388675172e-08,3.058959066995655e-06
124,Gpr171,5.511272,0.33770627,4.085643502645743e-08,3.2200885199913266e-06
125,Gm47283,5.4995418,2.7324479,4.8653668426292274e-08,3.7865723449665513e-06
126,Slc13a2,5.4883623,2.6985934,5.121274422510825e-08,3.926689744252559e-06
127,Retreg1,5.471336,0.36731547,5.1101906981546636e-08,3.926689744252559e-06
128,Pde4b,5.445273,0.30809775,5.860066540792736e-08,4.406117343613482e-06
129,Bex1,5.424391,0.5556617,6.692326931492476e-08,4.971694454632437e-06
130,Exoc6b,5.4151297,0.43735078,7.008340758841638e-08,5.157109137068943e-06
131,Irf2,5.4144673,0.29556102,6.998523375149205e-08,5.157109137068943e-06
132,Fam214a,5.412058,0.45819756,7.123860234151793e-08,5.229721793170583e-06
133,Serpinf1,5.401379,0.5263674,7.531764339717563e-08,5.495362650243307e-06
134,Fbxo7,5.366711,0.37944055,9.118252220120465e-08,6.58486246956746e-06
135,Klrb1c,5.359192,1.3104322,9.85474993514008e-08,7.018797012291396e-06
136,Ing4,5.3590627,0.30166516,9.475672243919532e-08,6.81129745811188e-06
137,Acad10,5.357126,0.6478556,9.703432212350763e-08,6.958907170672707e-06
138,Acox1,5.3455853,0.44784224,1.0330090400126745e-07,7.307068273237717e-06
139,Treml2,5.327395,0.26463965,1.1145192988716809e-07,7.830128458792377e-06
140,Nceh1,5.325374,0.3487324,1.1363046552722365e-07,7.950415710306123e-06
141,Tnfsf13,5.323131,0.86036694,1.1741477884773065e-07,8.156781045992348e-06
142,Pdzk1ip1,5.3207855,0.46522433,1.1712753290187117e-07,8.155070132739474e-06
143,2610035D17Rik,5.296144,0.7122637,1.3515341082893778e-07,9.26472155953864e-06
144,Patj,5.2823644,0.5407452,1.446116700119602e-07,9.7834993221817e-06
145,Chchd7,5.2817526,0.33973595,1.4359006925610689e-07,9.73559480482508e-06
146,Fam171a1,5.2760763,0.50451106,1.4967961208900286e-07,1.010434998739088e-05
147,Pnpla7,5.267156,0.32974127,1.5514917489636569e-07,1.0405717771181088e-05
148,Utrn,5.265083,0.25283507,1.5641040033437404e-07,1.0467698624101978e-05
149,Cd27,5.2561193,0.26350436,1.626819684841886e-07,1.0840693492144869e-05
150,Paqr7,5.247994,0.47384477,1.7342819560297938e-07,1.1482869420169125e-05
151,Sft2d2,5.243893,0.34294862,1.7637684969984162e-07,1.1653255986657834e-05
152,Cryzl2,5.2436914,0.4244877,1.7680676796659173e-07,1.1656858950459814e-05
153,Rusc2,5.2309213,0.7569869,1.913244697031001e-07,1.2429286103954744e-05
154,Malat1,5.2165103,0.16647995,2.0040687005202639e-07,1.2911274970385009e-05
155,Cd1d1,5.210292,0.38531277,2.1044061306990825e-07,1.3446115962263083e-05
156,Fchsd2,5.2032523,0.2582512,2.181936741598345e-07,1.3855967614898447e-05
157,Gcnt2,5.1791687,0.26054388,2.4670106338617444e-07,1.535232088443061e-05
158,Neurl3,5.1640835,0.44984132,2.7054952387626656e-07,1.663638488104892e-05
159,Rps9,5.1619797,0.10672201,2.6971612476724364e-07,1.661804528253416e-05
160,Tie1,5.1582084,0.3786065,2.772499924862137e-07,1.7014711495403938e-05
161,Rps7,5.150211,0.13883919,2.882915719591933e-07,1.758805144213915e-05
162,4732471J01Rik,5.1253915,0.62157094,3.379217448031016e-07,2.0415338407336015e-05
163,Ldhd,5.1176972,0.92558986,3.486860081104773e-07,2.0943417040337813e-05
164,Gm12735,5.1168265,0.7125348,3.494575443702846e-07,2.094923769368812e-05
165,Selenom,5.100417,0.821839,3.859424494773949e-07,2.287150931988844e-05
166,Trim47,5.100179,0.5703043,3.787129653432061e-07,2.249488726620379e-05
167,Greb1,5.0799913,2.5812082,4.4673616689279486e-07,2.6224004140873264e-05
168,Ndrg2,5.078214,0.91075003,4.300311018492645e-07,2.5387368451949065e-05
169,Kdm6a,5.053875,0.38593468,4.803945775578267e-07,2.7935754338770023e-05
170,Grtp1,5.0485826,1.4291711,5.167414271908724e-07,2.9770633652241485e-05
171,Paqr5,5.0437837,0.6829086,5.110938005273187e-07,2.9499992170585185e-05
172,Prkaa2,5.0419183,0.90010667,5.202085177287491e-07,2.9859584290260343e-05
173,Mctp1,5.0287147,0.3728155,5.450585992767964e-07,3.099945912700066e-05
174,Ankrd13a,5.0166855,0.19904108,5.773723536118737e-07,3.2777227964734026e-05
175,Vipr2,5.0144644,0.464934,5.911156538961179e-07,3.3435181057260745e-05
176,Map4k2,4.9967275,0.3095888,6.421697372049492e-07,3.612553777069799e-05
177,Klhl6,4.9948425,0.2786498,6.438676823303856e-07,3.615555721411476e-05
178,Edem2,4.985987,0.26675135,6.723155184490874e-07,3.754930538561063e-05
179,Eya2,4.98568,0.42032206,6.793650641788398e-07,3.783205967354568e-05
180,Gm15261,4.981563,0.5611303,7.024765175650834e-07,3.874600941376294e-05
181,Rasgef1b,4.956584,0.9684228,8.113695190184246e-07,4.420255732294586e-05
182,Peg12,4.9507127,0.9500075,8.290458744450153e-07,4.500762506842843e-05
183,Samd5,4.9486065,2.7866054,8.741079410820378e-07,4.68802657934724e-05
184,Dst,4.945284,0.36232933,8.327532475919096e-07,4.512999406190501e-05
185,Myc,4.9402776,0.33073357,8.513836678951048e-07,4.5899335137407445e-05
186,Atg7,4.9335046,0.3984509,8.905440831187064e-07,4.743407446498317e-05
187,Rpl3,4.933368,0.16952386,8.815368449190145e-07,4.711594431199684e-05
188,Myb,4.9296575,0.20330046,8.957915897806781e-07,4.756295379482507e-05
