unnamed:_0,Gene,scores,log2fc_209742,pvalue_209742,padj_209742,pvalue_206778,padj_206778,log2fc_206778
14058.0,Gm39115,0.0,0.0,1.0,1.0,,,
14315.0,Gm39117,0.0,0.0,1.0,1.0,,,
23301.0,Gm39119,-1.0,-16.657305,0.3174566891192462,0.6703247696698201,,,
10527.0,Gm39121,0.12308237,0.08047817,0.9020554091422488,1.0,,,
12646.0,Gm39128,0.0,0.0,1.0,1.0,,,
12556.0,Gm39129,0.0,0.0,1.0,1.0,,,
12536.0,Gm39132,0.0,0.0,1.0,1.0,,,
7790.0,Gm39139,0.6451463,0.5712772,0.5189414361611373,0.892829985988797,,,
23469.0,Gm39149,-1.0,-16.145517,0.3174566872666138,0.6703247696698201,,,
23842.0,Gm39154,-1.0,-13.990046,0.317456682157811,0.6703247696698201,,,
22660.0,Gm39157,-1.0,-15.473271,0.3174566969318541,0.6703247696698201,,,
5642.0,Gm39158,1.0,19.473507,0.3175801904064266,0.6703247696698201,,,
12002.0,Gm39164,0.0,0.0,1.0,1.0,,,
12218.0,Gm39168,0.0,0.0,1.0,1.0,,,
12202.0,Gm39185,0.0,0.0,1.0,1.0,,,
16543.0,Gm39204,0.0,0.0,1.0,1.0,,,
21011.0,Gm39214,-0.69154674,-0.1384776,0.4892960754682982,0.8639890271532505,,,
20550.0,Gm39228,-0.59157634,-1.4368453,0.5541990299652488,0.9264396251890004,,,
16731.0,Gm39231,0.0,0.0,1.0,1.0,,,
22676.0,Gm39232,-1.0,-13.825339,0.3174566967708951,0.6703247696698201,,,
20517.0,Gm39244,-0.58172184,-1.0456839,0.5608060680307442,0.9334643455488152,,,
8552.0,Gm39302,0.49690813,0.23840526,0.6193108724200035,0.9862287446799164,,,
7075.0,Gm39312,0.7791469,2.2370207,0.4360897968134049,0.8084714304744275,,,
25981.0,Gm39317,-1.3972393,-15.420369,0.1625288964299247,0.5848427812308787,,,
10626.0,Gm39318,0.10014757,0.059964664,0.920235549833082,1.0,,,
9043.0,Gm39321,0.40301284,0.8632409,0.6870025477468971,1.0,,,
29513.0,Gm39323,-2.90689,-2.0341582,0.003686424394833,0.0477176059744686,,,
25191.0,Gm39325,-1.2522054,-17.725466,0.2106719626866505,0.6578837949827593,,,
5797.0,Gm39327,1.0,17.419458,0.3175801941995445,0.6703247696698201,,,
15356.0,Gm39329,0.0,0.0,1.0,1.0,,,
23859.0,Gm39336,-1.0,-14.216622,0.3174566817543587,0.6703247696698201,,,
24298.0,Gm39348,-1.068141,-18.834013,0.2856126912744037,0.6703247696698201,,,
3472.0,Gm39363,1.4156342,1.3119154,0.157178058714675,0.5815820895174472,,,
22611.0,Gm39375,-1.0,-14.190949,0.3174566974758296,0.6703247696698201,,,
23166.0,Gm39377,-1.0,-13.643852,0.3174566906592244,0.6703247696698201,,,
15454.0,Gm39380,0.0,0.0,1.0,1.0,,,
24885.0,Gm39383,-1.1918905,-17.10796,0.233475061754827,0.6703247696698201,,,
24938.0,Gm39384,-1.2021431,-15.670806,0.2294800568724731,0.6703247696698201,,,
23581.0,Gm39388,-1.0,-13.821291,0.3174566860617031,0.6703247696698201,,,
6286.0,Gm39397,0.9320438,1.5465822,0.351517320307143,0.713209235380445,,,
11327.0,Gm3942,0.0,0.0,1.0,1.0,,,
17218.0,Gm39456,0.0,0.0,1.0,1.0,,,
5097.0,Gm39459,1.0160296,3.017975,0.3098854524270494,0.6703247696698201,,,
17267.0,Gm39460,0.0,0.0,1.0,1.0,,,
18174.0,Gm39463,-0.09846615,-0.16021475,0.9215740759793328,1.0,,,
5435.0,Gm39464,1.0,15.429541,0.3175801854528607,0.6703247696698201,,,
20105.0,Gm39465,-0.49666348,-0.62432945,0.619470048626249,0.9864184357786178,,,
1597.0,Gm39469,2.230689,0.30020282,0.0258371976656709,0.1965994852026656,,,
6914.0,Gm39473,0.8120831,2.5105615,0.4169468007113548,0.7871268163711898,,,
17380.0,Gm3952,0.0,0.0,1.0,1.0,,,
2172.0,Gm39526,1.8999361,0.7521675,0.0576291824666753,0.3331891646132318,,,
2740.0,Gm39566,1.6644069,2.2299476,0.0963365849171517,0.4484395100333254,,,
15448.0,Gm39653,0.0,0.0,1.0,1.0,,,
26964.0,Gm39662,-1.6214936,-15.93025,0.1051023121297056,0.4706189039024872,,,
26628.0,Gm3970,-1.5329388,-2.2465465,0.1254332730352195,0.5184452851807095,,,
24548.0,Gm39822,-1.1213309,-5.2445974,0.2623094134008724,0.6703247696698201,,,
11929.0,Gm3985,0.0,0.0,1.0,1.0,,,
